id,priority,pattern,signal_types,fit_tier,focus,buyer_phrase
piano-restoration,10,"\bpiano(?:s)?\b.*\b(?:restoration|repair|refinishing)\b|\b(?:restoration|repair|refinishing)\b.*\bpiano(?:s)?\b",*,exclude,piano restoration,piano owners needing restoration
architectural-salvage,20,"\b(?:architectural salvage|reclaimed fireplace mantels|stained glass windows)\b",*,exclude,architectural salvage,architectural salvage buyers
fundraising-products,30,"\b(?:fundraising|fundraisers|confectionery candy)\b",*,exclude,fundraising products,organisations planning fundraisers
flexible-capital,35,"\bflexible capital(?: solutions)?\b",*,secondary,flexible capital solutions,companies looking for flexible capital solutions
wine-sector-ma,36,"\b(?:wineries?|vineyards?|wine industry)\b",*,core,wine-sector M&A,winery owners considering a sale
it-services-ma,36,"\b(?:IT services companies|managed service providers|tech-services firms)\b",*,core,IT services M&A,IT services firms considering growth or exit
technology-ma,37,"\b(?:sell-side M&A.{0,60}technology|(?:M&A|mergers? (?:and|&) acquisitions?) advisory.{0,100}(?:information|software|technology)|focused (?:exclusively )?on (?:the )?technology sector|global technology ecosystem)\b",*,core,technology M&A,technology business owners considering a sale
cross-border-ma,37,"\bcross-border M&A\b|\bM&A transactions especially between Europe and the United States\b",*,core,cross-border M&A,companies considering a cross-border transaction
western-canada-ma,37,"\bM&A advisory across Western Canada\b|\bWestern Canadian (?:businesses|companies|owners)\b",*,core,Western Canada M&A,Western Canadian owners considering a transaction
ontario-sell-side,37,"\bselling Ontario-based companies\b|\bOntario-based companies valued\b",*,core,Ontario sell-side M&A,Ontario owners considering a business sale
industrial-sector-ma,37,"\bM&A advisory firm focused primarily on the industrial and services sectors\b",*,core,industrial-sector M&A,industrial business owners considering a transaction
off-market-origination,36,"\boff-market (?:M&A )?(?:deal flow|deal origination|acquisition opportunities)\b|\bdeal flow for (?:every client|business acquirers)\b",*,core,off-market deal origination,acquirers looking for off-market opportunities
canadian-business-sale,36,"\b(?:Canada|Canadian)\b.{0,100}\b(?:buy(?:ing)? or sell(?:ing)?|sell[- ]side|business sales?)\b|\b(?:buy(?:ing)? or sell(?:ing)?|sell[- ]side|business sales?)\b.{0,100}\b(?:Canada|Canadian)\b",*,core,Canadian business sales,Canadian business owners considering a sale
uk-business-sale,36,"\b(?:UK-wide|national UK|across the UK)\b.{0,100}\b(?:buyers?|sellers?|business sales?)\b|\b(?:buyers?|sellers?|business sales?)\b.{0,100}\b(?:UK-wide|national UK|across the UK)\b",*,core,UK business sales,UK business owners considering a sale
